date,deaths,x,total,day
19-Aug,1,1,1,1
20-Aug,1,2,2,2
21-Aug,1,3,3,3
22-Aug,0,4,3,4
23-Aug,1,5,4,5
24-Aug,1,6,5,6
25-Aug,0,7,5,7
26-Aug,1,8,6,8
27-Aug,1,9,7,9
28-Aug,1,10,8,10
29-Aug,1,11,9,11
30-Aug,8,12,17,12
31-Aug,56,13,73,13
1-Sep,143,14,216,14
2-Sep,116,15,332,15
3-Sep,54,16,386,16
4-Sep,46,17,432,17
5-Sep,36,18,468,18
6-Sep,20,19,488,19
7-Sep,28,20,516,20
8-Sep,12,21,528,21
9-Sep,11,22,539,22
10-Sep,5,23,544,23
11-Sep,5,24,549,24
12-Sep,1,25,550,25
13-Sep,3,26,553,26
14-Sep,0,27,553,27
15-Sep,1,28,554,28
16-Sep,4,29,558,29
17-Sep,2,30,560,30
18-Sep,3,31,563,31
19-Sep,0,32,563,32
20-Sep,0,33,563,33
21-Sep,2,34,565,34
22-Sep,1,35,566,35
23-Sep,1,36,567,36
24-Sep,1,37,568,37
25-Sep,1,38,569,38
26-Sep,1,39,570,39
27-Sep,1,40,571,40
28-Sep,0,41,571,41
29-Sep,0,42,571,42
